Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Junior Lokosa,2019/2020,29,29,,Centre-Forward,,,https://www.transfermarkt.com/junior-lokosa/profil/spieler/584674,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€325k
Zied Berrima,2023/2024,17,17,,Centre-Forward,,,https://www.transfermarkt.com/zied-berrima/profil/spieler/645530,Club Athlétique Bizertin,,https://tmssl.akamaized.net//images/wappen/verysmall/12717.png?lm=1534152607,,€50k
Mohamed Sedki Debchi,2025/2026,26,26,,Mohamed Sedki Debchi,,,https://www.transfermarkt.com/mohamed-sedki-debchi/profil/spieler/572190,Without Club,,,,€100k
Mohamed Amine Tougai,2025/2026,15,25,1.50,Mohamed Amine Tougai,,,https://www.transfermarkt.com/mohamed-amine-tougai/profil/spieler/592396,Without Club,,,,€1.50m
Ilyes Chetti,2021/2022,23,23,,Left-Back,,,https://www.transfermarkt.com/ilyes-chetti/profil/spieler/477834,USM Alger,,https://tmssl.akamaized.net//images/wappen/verysmall/6772.png?lm=1705509817,,€550k
Mohamed Amine Ben Hamida,2025/2026,20,20,,Mohamed Amine Ben Hamida,,,https://www.transfermarkt.com/mohamed-amine-ben-hamida/profil/spieler/454495,Without Club,,,,€700k
Samuel Atvati,2019/2020,2,20,,Samuel Atvati,,,https://www.transfermarkt.com/samuel-atvati/profil/spieler/628191,Abia Warriors FC,,https://tmssl.akamaized.net//images/wappen/verysmall/43417.png?lm=1420137420,,€175k
Kwame Bonsu,2019/2020,3,25,,Kwame Bonsu,,,https://www.transfermarkt.com/kwame-bonsu/profil/spieler/269558,Al-Jandal SC,,https://tmssl.akamaized.net//images/wappen/verysmall/78886.png?lm=1724184161,,€350k
Badreddine Mouelhi,2020/2021,2,22,,Defensive Midfield,,,https://www.transfermarkt.com/badreddine-mouelhi/profil/spieler/807057,EO Sidi Bouzid,,https://tmssl.akamaized.net//images/wappen/verysmall/44805.png?lm=1673031867,,€50k
Abdelraouf Benguit,2020/2021,18,18,1.20,Central Midfield,,,https://www.transfermarkt.com/abdelraouf-benguit/profil/spieler/345810,CR Belouizdad,,https://tmssl.akamaized.net//images/wappen/verysmall/13365.png?lm=1695752455,,€1.20m
Fedi Ben Choug,2021/2022,24,24,,Attacking Midfield,,,https://www.transfermarkt.com/fedi-ben-choug/profil/spieler/415482,Etoile Sportive du Sahel,,https://tmssl.akamaized.net//images/wappen/verysmall/250.png?lm=1584825425,,€300k
Abderrahmane Meziane,2020/2021,17,17,,Left Winger,,,https://www.transfermarkt.com/abderrahmane-meziane/profil/spieler/321198,CR Belouizdad,,https://tmssl.akamaized.net//images/wappen/verysmall/13365.png?lm=1695752455,,€700k
Farouk Mimouni,2023/2024,33,33,,Left Winger,,,https://www.transfermarkt.com/farouk-mimouni/profil/spieler/782597,Union Sportive de Ben Guerdane,,https://tmssl.akamaized.net//images/wappen/verysmall/30507.png?lm=1437974422,,€100k
Mohamed Ali Ben Hammouda,2023/2024,29,29,,Mohamed Ali Ben Hammouda,,,https://www.transfermarkt.com/mohamed-ali-ben-hammouda/profil/spieler/700169,CR Belouizdad,,https://tmssl.akamaized.net//images/wappen/verysmall/13365.png?lm=1695752455,,€600k
Youssef Abdelli,2024/2025,,26,,Centre-Forward,,,https://www.transfermarkt.com/youssef-abdelli/profil/spieler/700702,US Monastir,,https://tmssl.akamaized.net//images/wappen/verysmall/9890.png?lm=1563116766,,€400k
Bilel Chabbar,2023/2024,34,34,,Centre-Back,,,https://www.transfermarkt.com/bilel-chabbar/profil/spieler/841507,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€125k
Hamdi Nagguez,2020/2021,21,21,,Hamdi Nagguez,,,https://www.transfermarkt.com/hamdi-nagguez/profil/spieler/272664,Al-Najaf FC,,https://tmssl.akamaized.net//images/wappen/verysmall/13594.png?lm=1752675185,,€800k
Cedrik Gbo,2021/2022,,19,,Defensive Midfield,,,https://www.transfermarkt.com/cedrik-gbo/profil/spieler/841501,Etoile Sportive du Sahel,,https://tmssl.akamaized.net//images/wappen/verysmall/250.png?lm=1584825425,,€250k
Montassar Triki,2023/2024,32,32,,Central Midfield,,,https://www.transfermarkt.com/montassar-triki/profil/spieler/841500,Dobrudzha Dobrich,,https://tmssl.akamaized.net//images/wappen/verysmall/4362.png?lm=1721764689,,€175k
Anayo Iwuala,2021/2022,17,17,,Left Winger,,,https://www.transfermarkt.com/anayo-iwuala/profil/spieler/686200,Al-Arabi SC (Kuwait),,https://tmssl.akamaized.net//images/wappen/verysmall/15481.png?lm=1705881599,,€900k
Rached Arfaoui,2022/2023,14,27,,Right Winger,,,https://www.transfermarkt.com/rached-arfaoui/profil/spieler/295377,Ghazl El Mahalla,,https://tmssl.akamaized.net//images/wappen/verysmall/13446.png?lm=1727759318,,€500k
Kouadio Brou David Koffi,2021/2022,21,21,,Right Winger,,,https://www.transfermarkt.com/kouadio-brou-david-koffi/profil/spieler/924164,ASEC Mimosas,,https://tmssl.akamaized.net//images/wappen/verysmall/3891.png?lm=1413098158,,€50k
Nassim Ben Khalifa,2021/2022,,30,,Second Striker,,,https://www.transfermarkt.com/nassim-ben-khalifa/profil/spieler/74288,Avispa Fukuoka,,https://tmssl.akamaized.net//images/wappen/verysmall/9597.png?lm=1633722219,,€400k
William Togui,2020/2021,35,35,,William Togui,,,https://www.transfermarkt.com/william-togui/profil/spieler/362291,APR FC Kigali,,https://tmssl.akamaized.net//images/wappen/verysmall/8658.png?lm=1411308748,,€750k
Khalid Basit,2020/2021,3,24,,Centre-Forward,,,https://www.transfermarkt.com/khalid-basit/profil/spieler/458371,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€700k
Alaeddine Marzouki,2021/2022,7,32,,Centre-Forward,,,https://www.transfermarkt.com/alaeddine-marzouki/profil/spieler/210051,Hajer Club,,https://tmssl.akamaized.net//images/wappen/verysmall/32343.png?lm=1694657600,,€450k
Mouhib Selmi,2023/2024,36,36,,Centre-Forward,,,https://www.transfermarkt.com/mouhib-selmi/profil/spieler/782600,Avenir Sportif de Gabès,,https://tmssl.akamaized.net//images/wappen/verysmall/22812.png?lm=1418329501,,€50k
Hani Amamou,2023/2024,22,22,,Hani Amamou,,,https://www.transfermarkt.com/hani-amamou/profil/spieler/468681,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€200k
Abdelaziz Knani,2025/2026,,23,,Centre-Back,,,https://www.transfermarkt.com/abdelaziz-knani/profil/spieler/1071324,Without Club,,,,€150k
Ghassen Mahersi,2021/2022,,21,,Left-Back,,,https://www.transfermarkt.com/ghassen-mahersi/profil/spieler/1008452,ES Zarzis,,https://tmssl.akamaized.net//images/wappen/verysmall/2205.png?lm=1418329546,,€25k
Amanallah Mjahed,2025/2026,,22,,Amanallah Mjahed,,,https://www.transfermarkt.com/amanallah-mjahed/profil/spieler/1008462,Without Club,,,,€350k
Zied Machmoum,2023/2024,,31,,Right-Back,,,https://www.transfermarkt.com/zied-machmoum/profil/spieler/215637,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€150k
Raed Bouchniba,2025/2026,13,21,,Right-Back,,,https://www.transfermarkt.com/raed-bouchniba/profil/spieler/1008461,Without Club,,,,€650k
